,방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가,취급액,성별 포함
16784,2019-06-07 08:00:00,30.0,100478,201452,파뷔에 항균도마 1+1+칼세트,0,49800,36015000,0
21,2019-01-01 12:00:00,20.0,100088,200236,에코라믹 통주물 스톤 냄비세트,0,60900,33823000,0
12634,2019-05-02 12:00:00,20.0,100475,201446,초특가  파뷔에 팬지 대형 후라이팬 세트,0,59800,20982000,0
28406,2019-09-25 06:00:00,20.0,100724,202115,IH 옛 가마솥 세트,0,62000,9761000,0
198,2019-01-03 14:00:00,20.0,100255,200868,한일 대용량 스텐 분쇄믹서기,0,109800,22816000,0
37833,2019-12-26 19:20:00,20.0,100638,201956,램프쿡 자동회전냄비,0,109000,32379000,0
9609,2019-04-06 07:00:00,20.0,100478,201453,파뷔에 항균도마 1+1세트,0,49800,27033000,0
37228,2019-12-20 08:20:00,20.0,100264,200878,셀렉프로 뚝배기 전기밥솥(멀티쿠커),0,79000,29415000,0
45,2019-01-01 20:00:00,20.0,100150,200533,일시불 LG 통돌이 세탁기,1,439000,35519000,0
35040,2019-11-29 22:20:00,20.0,100148,200412,LG 울트라HD TV 65UM7900BNA,1,1700000,37696000,0
32425,2019-11-03 09:20:00,30.0,100091,200248,(1등급)221L_딤채김치냉장고,1,899000,5028000,0
138,2019-01-02 21:00:00,20.0,100155,200554,일시불 LG전자 매직스페이스 냉장고,1,1409000,14485000,0
15194,2019-05-23 08:00:00,20.0,100456,201408,NNF 와이드데님팬츠 2종,2,39900,28605000,0
6583,2019-03-09 07:00:00,20.0,100452,201395,NNF SS트레이닝 세트,2,49000,14248000,0
21436,2019-07-21 06:00:00,20.0,100416,201320,코몽트 남성 프린트티셔츠8종,2,39900,13554000,1
34327,2019-11-22 01:20:00,20.0,100418,201323,코몽트 덤블 플리스 자켓 2종,2,49900,12582000,0
31600,2019-10-25 10:00:00,20.0,100340,201057,스튜디오럭스 후드롱구스다운코트,2,59000,22405000,0
25699,2019-08-31 06:00:00,20.0,100809,202384,CERINI by PAT 남성 어반 카라 티셔츠 4종(8월),2,49900,17542000,1
5712,2019-03-01 08:00:00,20.0,100458,201412,크리스티나앤코 가디건세트,2,34000,16325000,0
20516,2019-07-13 12:00:00,20.0,100416,201315,코몽트 남성 메쉬티셔츠 7종,2,39900,31261000,1
2177,2019-01-24 06:00:00,20.0,100458,201414,크리스티나앤코 기모티셔츠세트,2,29900,11435000,0
12711,2019-05-03 06:00:00,20.0,100818,202412,보코 에스닉 앙상블,2,29000,24617000,0
361,2019-01-05 08:00:00,20.0,100761,202216,마담팰리스 웜기모 롱베스트 3종세트,2,39900,16654000,0
14573,2019-05-17 19:00:00,20.0,100715,202090,젠트웰 스트레치 통풍 메쉬 자켓 1종,2,49000,17316000,0
30233,2019-10-12 07:00:00,20.0,100452,201400,NNF 라운지웨어세트,2,49000,28571000,0
34876,2019-11-28 08:20:00,20.0,100354,201135,마르엘라로사티 에코무스탕1종,2,99000,25941000,0
23168,2019-08-06 14:00:00,20.0,100822,202422,보코 풍기인견 블라우스,2,39000,34139000,0
29242,2019-10-03 08:00:00,20.0,100248,200830,[K-SWISS] 19 F/W 남성 패딩 트랙수트 2종,2,79900,10934000,1
6280,2019-03-06 10:00:00,20.0,100452,201401,NNF 소프트 베스트 앙상블,2,29900,26610000,0
18274,2019-06-21 14:00:00,20.0,100455,201403,NNF 쉬폰 썸머 앙상블세트,2,39900,20982000,0
9918,2019-04-08 13:00:00,20.0,100569,201670,스텔라테일러 컴포트 스트레치 팬츠 3종,2,39800,15834000,0
477,2019-01-06 13:00:00,20.0,100342,201059,아리스토우 남성기모티셔츠5종,2,39900,23015000,1
22891,2019-08-04 06:00:00,20.0,100460,201421,크리스티나앤코 썸머플리츠세트(8월),2,29000,9741000,0
24772,2019-08-21 00:00:00,20.0,100452,201396,NNF SS트레이닝 세트(8월),2,29000,27616000,0
14744,2019-05-19 09:00:00,20.0,100416,201317,코몽트 남성 이너티셔츠 7종,2,39900,81440000,1
28296,2019-09-24 07:00:00,20.0,100353,201127,마르엘라로사티 롱블라우스3종,2,39900,26102000,0
964,2019-01-11 22:00:00,30.0,100481,201457,로이몬스터 남녀 벤치후드롱패딩,2,49800,40568000,0
15338,2019-05-24 14:00:00,20.0,100479,201455,라라쎄 쉬폰 롤업재킷 2종 세트,2,59800,51483000,0
7115,2019-03-14 00:00:00,30.0,100090,200247,헤비추얼 여성 트렌치 맥코트,2,49000,25055000,2
29239,2019-10-03 07:00:00,20.0,100609,201859,푸마 DRY-DELL 기능성 티셔츠형 브라탑 패키지,3,59000,19136000,2
23656,2019-08-11 07:00:00,20.0,100195,200655,레이프릴 오가닉 코튼 보정팬티 12종,3,39900,18238000,2
12013,2019-04-26 13:00:00,30.0,100079,200215,아키 라이크라 노와이어 브라 컬렉션(뉴아키 23차),3,99900,38779000,2
33712,2019-11-16 06:20:00,20.0,100288,200921,히트융 극세사 퍼융기모 남성 동내의 패키지,3,69900,13398000,1
21891,2019-07-25 07:00:00,20.0,100275,200904,몬테밀라노 크루즈 이지웨어 패키지,3,49900,35663000,0
33713,2019-11-16 06:20:00,20.0,100288,200923,히트융 극세사 퍼융기모 여성 동내의 패키지,3,69900,6355000,2
1109,2019-01-13 08:00:00,30.0,100717,202110,로베르타 디 까메리노 트리플커버 지퍼쉐이핑 란쥬,3,89900,45184000,0
12600,2019-05-02 01:00:00,20.0,100348,201090,벨레즈온 브라캡 심리스 원피스 패키지,3,49900,16511000,2
17088,2019-06-09 23:20:00,20.0,100080,200220,아키 풀커버 라이크라 레이스 패키지(106차)(랜덤2세트추가),3,89900,41313000,0
31481,2019-10-24 06:00:00,20.0,100445,201368,쿠미투니카 웜 레이시 란쥬패키지,3,69900,16314000,0
29233,2019-10-03 01:00:00,20.0,100444,201367,쿠미투니카 롱 하이웨스트 팬티세트,3,59900,16823000,0
19207,2019-07-01 10:00:00,20.0,100444,201369,쿠미투니카 코르셋 하이웨스트 팬티세트,3,59900,23865000,0
10503,2019-04-13 17:00:00,20.0,100283,200912,실크트리 풍기인견 데일리 쿨 이지탑 패키지,3,44000,21828000,0
23166,2019-08-06 13:00:00,30.0,100305,200984,오모떼 쉐이핑 브라팬티 10종(7월),3,59900,50032000,2
364,2019-01-05 09:00:00,30.0,100305,200988,오모떼 프런트후크 데오브라 시즌2,3,59000,43243000,2
24495,2019-08-18 14:00:00,20.0,100019,200029,AAD 도트펀칭 컴포트 슬립온,4,29000,29363000,0
25749,2019-08-31 13:00:00,20.0,100754,202203,아가타 소가죽 데이쿠션로퍼,4,39900,29289000,0
26243,2019-09-05 13:00:00,20.0,100753,202202,아가타 골든 마스터 2종 (펌프스1종+플랫슈즈1종),4,59900,31224000,0
34153,2019-11-20 17:00:00,20.0,100390,201265,[RYN] 린 여성 다이얼락 히트 웜 퍼 방한화 2종,4,59000,17389000,2
34152,2019-11-20 17:00:00,20.0,100390,201262,[RYN] 린 남성 다이얼락 히트 웜 퍼 방한화 2종,4,59000,17245000,1
12970,2019-05-05 06:00:00,20.0,100185,200620,2019 S/S 기라로쉬 올인원 선글라스,4,48900,11145000,0
20903,2019-07-16 20:00:00,20.0,100021,200031,AAD 소가죽 투웨이 샌들,4,29000,20238000,0
34870,2019-11-28 07:20:00,20.0,100197,200666,오델로 여성 겨울모자 3종,4,29800,29104000,2
25556,2019-08-29 08:00:00,20.0,100069,200189,칼리베이직 2019 패브릭 백 4종 (시즌 3),4,59000,18049000,0
4730,2019-02-19 07:00:00,20.0,100070,200191,칼리베이직 여성백 3종세트,4,39900,28191000,2
37705,2019-12-25 09:20:00,20.0,100197,200664,오델로 겨울모자 3종 (2차),4,29800,35845000,0
29289,2019-10-03 14:00:00,20.0,100161,200566,시스마르스 플렉시블 웨지 펌프스,4,29800,45927000,0
19152,2019-06-30 17:00:00,20.0,100169,200583,유귀열의 The 귀한 능이 누룽지삼계탕 8팩,5,54900,53000000,0
25667,2019-08-30 16:00:00,20.0,100829,202434,참바다손질낙지100미+양념장+연포탕육수,5,44900,36465000,0
25589,2019-08-29 16:00:00,20.0,100492,201487,피시원 국내산 절단 햇 꽃게 7팩,5,49900,61903000,0
37180,2019-12-19 17:20:00,20.0,100699,202064,고창 꿀 고구마 10kg,5,30900,59760000,0
20326,2019-07-11 18:00:00,20.0,100167,200579,"유귀열의 The 귀한 갓김치3kg+열무김치3kg, 총6kg",5,38900,34288000,0
35,2019-01-01 16:40:00,20.0,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,5,61000,83893000,0
3548,2019-02-07 16:00:00,20.0,100511,201575,자연산 손질 통오징어 21미,5,40900,21426000,0
24294,2019-08-16 17:00:00,20.0,100499,201501,하림뼈없는양념닭발세트,5,39900,48255000,0
27882,2019-09-20 18:00:00,20.0,100511,201573,국내산 손질 통오징어 21미,5,43900,15981000,0
28946,2019-09-30 15:00:00,20.0,100548,201634,완도꼬마활전복 1.3kg,5,29900,46159000,0
29298,2019-10-03 16:00:00,20.0,100492,201486,피시원 국내산 절단 햇 꽃게 2.4kg,5,49900,63272000,0
32747,2019-11-06 11:20:00,20.0,100317,201665,국내산 손질 햇 갑오징어 9팩,5,49900,61612000,0
1338,2019-01-15 18:00:00,20.0,100026,200039,궁중 손질새우 200미 + 동태포 200g,5,40900,32615000,0
11216,2019-04-19 16:00:00,20.0,100167,200589,유귀열의 귀한 갓김치3kg+총각김치3kg (총6kg),5,38900,31444000,0
39,2019-01-01 18:00:00,20.0,100435,201350,우리바다 손질왕꼬막 24팩,5,39900,59050000,0
33,2019-01-01 16:00:00,20.0,100322,201479,국내산 손질갑오징어 8팩,5,49900,60787000,0
2377,2019-01-26 10:00:00,20.0,100832,202447,청정수산 완도활전복 中사이즈 26미,5,59900,40600000,0
25507,2019-08-28 18:00:00,20.0,100323,201489,피시원 국내산 햇 손질문어 8팩,5,49900,47724000,0
2212,2019-01-24 16:00:00,20.0,100841,202484,옛날 그 쥐포 110장 (11팩),5,32900,38592000,0
24585,2019-08-19 15:00:00,20.0,100844,202489,하늘내린 용대리황태10마리,5,32900,26960000,0
111,2019-01-02 15:00:00,20.0,100253,200864,안동간고등어 20팩,5,30900,41722000,0
30755,2019-10-17 11:00:00,20.0,100323,201488,피시원 국내산 햇 손질문어 7팩,5,49900,31142000,0
16002,2019-05-31 00:00:00,20.0,100469,201436,디비노 선글라스 세트,6,44800,21764000,0
270,2019-01-04 07:00:00,20.0,100226,201019,코이모 리빙박스 8종,6,49800,10166000,0
27622,2019-09-18 09:00:00,20.0,100052,200135,스팀큐다리미,6,59800,34533000,0
4948,2019-02-21 09:00:00,20.0,100635,201945,바로바로 무선청소기,6,89000,22227000,0
36468,2019-12-13 06:20:00,20.0,100330,201036,LG생활건강 샤프란아우라 고농축 섬유유연제,6,30900,40565000,0
6298,2019-03-06 13:00:00,20.0,100450,201392,코튼데이 유기농 순면 마스크 KF94 60매,6,39900,52725000,0
2955,2019-02-01 22:00:00,20.0,100205,200731,보루네오 루나 유로탑 멀티수납형 LED 침대 K 킹,7,648000,5271000,0
17264,2019-06-11 21:00:00,20.0,100500,201511,(일)삼익가구 어블러 LED 멀티 수납형 침대 슈퍼싱글,7,499000,3712000,0
19586,2019-07-04 21:00:00,20.0,100205,200737,보루네오 루나시즌2 유로탑 멀티수납형 LED침대 퀸,7,598000,5214000,0
2953,2019-02-01 22:00:00,20.0,100205,200733,보루네오 루나 유로탑 멀티수납형 LED 침대 SS 슈퍼싱글,7,548000,7399000,0
2954,2019-02-01 22:00:00,20.0,100205,200732,보루네오 루나 유로탑 멀티수납형 LED 침대 Q 퀸,7,598000,3264000,0
19587,2019-07-04 21:00:00,20.0,100205,200739,보루네오 루나시즌2 유로탑 멀티수납형 LED침대 킹,7,648000,13111000,0
4063,2019-02-12 23:00:00,20.0,100500,201510,(일) 삼익가구 LED 제니비 서랍형 침대 SS,7,499000,7707000,0
21658,2019-07-23 07:00:00,20.0,100766,202239,참존 탑뉴스 지이링클 기초세트,8,59000,20519000,0
25836,2019-09-01 12:00:00,20.0,100074,200199,비버리힐스폴로클럽 남성기초세트(골드+콜라겐),8,39800,39847000,1
25676,2019-08-30 19:00:00,20.0,100327,201032,[VONIN]보닌 남성기초세트,8,54000,26894000,1
8305,2019-03-25 17:00:00,20.0,100074,200200,비버리힐스폴로클럽 남성기초세트(골드+플라),8,39800,19048000,1
16922,2019-06-08 12:00:00,20.0,100074,200202,비버리힐스폴로클럽 남성기초세트(플라센타아이크림+선크림),8,39800,25133000,1
36,2019-01-01 17:00:00,20.0,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),8,39800,42239000,1
8033,2019-03-23 07:00:00,20.0,100654,201980,일시불 종근당건강 락토핏 생유산균골드 단하루,9,75050,29476000,0
267,2019-01-04 06:00:00,20.0,100651,201972,제주농장 유기 양배추진액 120포,9,74900,10439000,0
27836,2019-09-20 07:00:00,20.0,100562,201659,무농약레드비트즙 90봉,9,39900,18725000,0
15909,2019-05-29 23:00:00,20.0,100055,200139,  뉴트리원 다이어트 구미,9,59000,39169000,0
27260,2019-09-15 07:00:00,20.0,100558,201655,정직한 농부의 석류,9,59900,30702000,0
3545,2019-02-07 15:00:00,20.0,100321,201023,통째로 착즙한 루비 석류즙 84포,9,77000,23616000,0
5429,2019-02-26 07:00:00,20.0,100309,200992,닥터 슈퍼 루테인,9,59900,25621000,0
17439,2019-06-13 14:00:00,20.0,100539,201619,"[광동제약] 석류 100, 총 5박스",9,79900,22830000,0
18813,2019-06-27 12:00:00,20.0,100139,200390,보몽드 엘사 자수 쿨 시어서커 침구세트 K,10,79900,6775000,0
18814,2019-06-27 12:00:00,20.0,100139,200392,보몽드 엘사 자수 쿨 시어서커 침구세트 SK(슈퍼킹),10,89900,3625000,0
14549,2019-05-17 13:00:00,20.0,100139,200372,보몽드 샐비어 시어서커 리플 침구세트 K,10,69900,12341000,0
14548,2019-05-17 13:00:00,20.0,100139,200373,보몽드 샐비어 시어서커 리플 침구세트 Q,10,59900,7460000,0
18812,2019-06-27 12:00:00,20.0,100139,200391,보몽드 엘사 자수 쿨 시어서커 침구세트 Q,10,69900,5667000,0
31349,2019-10-22 23:00:00,20.0,100813,202399,한빛 페르시안스타일 셔닐 카페트 점보특대형,10,109000,12296000,0
14547,2019-05-17 13:00:00,20.0,100139,200374,보몽드 샐비어 시어서커 리플 침구세트 SS,10,49900,6483000,0
20521,2019-07-13 14:00:00,20.0,100447,201375,안지 청풍 대자리,10,50900,20023000,0
